Landcover,VegetationScore_Main,VegetationScore_Baseline,PixelCount,IsVegetation
Tree cover,-2.4772047996520996,-1.810065507888794,6962192,True
Shrubland,-2.721827507019043,-2.115520477294922,3676952,True
Grassland,-2.9231038093566895,-2.501070976257324,4169668,True
Cropland,,,247639,False
Built-up,,,283643,False
Bare/sparse,,,0,False
Snow/ice,,,136693,False
Water,,,19739,False
Wetland,,,0,False
Mangroves,,,541,False
Moss/lichen,,,0,False
