Landcover,kNDVI_NSE,kNDVI_RMSE,Pixel_Count,Vegetation
Tree cover,0.429527173206115,0.01303205658628484,489811,True
Shrubland,-0.3435769900511285,0.0261535963180121,78891,True
Grassland,-0.1318743990461133,0.026439519794887525,587509,True
Cropland,0.3432232143219869,0.0065841882296573005,12004,False
Built-up,-0.1168626525104679,0.016101577456797845,27554,False
